Feature Name,Translation,feature_type,timing,General,General2,LUX VALUE,LUX PARAMETER,AREA VALUE,AREA PARAMETER
convex_area,the area that you covered while traveling was,AREA,,you covered,area,0.002,the light during a moonless clear night sky,60,a one bedroom apartment
buffer_space,the area that you covered while traveling was,AREA,,you covered,area,0.01,the light from a quarter moon,90,a two bedroom apartment
min_lux_mean,the dimmest light around you was,LUX,,you had,dim amount of light around you,0.05,the light from a full moon,250,a house
max_lux_mean,the brightest light around you was,LUX,,you had,bright amount of light around you,5,the light during twilight,400,a basketball court
mean_lux_mean,the typical brightness of light around you was,LUX,,you had,typical amount of light for you,50,the lights in family living rooms,500,a large movie auditorium
std_lux_mean,the variability of brightness of light around you was,LUX,,you had,variability in the amount of light,100,the light on a dark overcast day,"1,500",an ice-skating rink
,,,,,,320,the average office lighting,"3,000",a supermarket
,,,,,,400,light from a sunset,"5,000",a football field
,,,,,,1000,the light on an overcast day,"15,000",a running track
,,,,,,"10,000",daylight,"30,000",the Colorado State Capitol building
,,,,,,"32,000",direct sunlight,"62,000",Ball Arena
,,,,,,,,"140,000",a shopping mall
,,,,,,,,"320,000",the Denver Zoo
,,,,,,,,"500,000",the campus of Denver University
,,,,,,,,"2,500,000","the campus of the University of Colorado, Boulder"
,,,,,,,,"3,500,000",Central Park in New York City
,,,,,,,,"5,000,000",the Cheyenne Mountain Zoo
,,,,,,,,"13,000,000",Dillon Resevoir
,,,,,,,,"65,000,000",the city of Boulder
,,,,,,,,"140,000,000",Denver International Airport
,,,,,,,,"400,000,000",the city of Denver
,,,,,,,,"1,000,000,000",Rocky Mountain National Park
,,,,,,,,"4,000,000,000",the state of Rhode Island
,,,,,,,,"140,000,000,000",the state of Iowa
,,,,,,,,"270,000,000,000",the state of Colorado